city,state,Valid_City,Valid_Province
Abbotsford,British Columbia,Abbotsford,British Columbia
Afton Station,Nova Scotia,Afton Station,Nova Scotia
Airdrie,Alberta,Airdrie,Alberta
Ajax,Ontario,Ajax,Ontario
Akwesasne,Ontario,Akwesasne,Ontario
Alliston,Ontario,Alliston,Ontario
Alton,Ontario,Alton,Ontario
Amaranth,Ontario,Amaranth,Ontario
Amherst,Nova Scotia,Amherst,Nova Scotia
Amherstview,Ontario,Amherstview,Ontario
Ancaster,Ontario,Ancaster,Ontario
Angus,Ontario,Angus,Ontario
Annapolis Royal,Nova Scotia,Annapolis Royal,Nova Scotia
Antigonish,Nova Scotia,Antigonish,Nova Scotia
Apt 5,Ontario,Apt 5,Ontario
Arcadia,Nova Scotia,Arcadia,Nova Scotia
Ardrossan,Alberta,Ardrossan,Alberta
Argyle Sound,Nova Scotia,Argyle Sound,Nova Scotia
Armstrong,British Columbia,Armstrong,British Columbia
Aurora,Ontario,Aurora,Ontario
Austin,Texas,Austin,Texas
Aylesford,Nova Scotia,Aylesford,Nova Scotia
Ayr,Ontario,Ayr,Ontario
Baie-Comeau,Quebec,Baie-Comeau,Quebec
Balfour,British Columbia,Balfour,British Columbia
Barrhead,Alberta,Barrhead,Alberta
Barrie,Ontario,Barrie,Ontario
Bassano,Alberta,Bassano,Alberta
Bear River,Nova Scotia,Bear River,Nova Scotia
Beasley,British Columbia,Beasley,British Columbia
Beaumont,Alberta,Beaumont,Alberta
Beaverbank,Nova Scotia,Beaverbank,Nova Scotia
Bedford,Nova Scotia,Bedford,Nova Scotia
Beeton,Ontario,Beeton,Ontario
Belleville,Ontario,Belleville,Ontario
Berwick,Nova Scotia,Berwick,Nova Scotia
Bible Hill,Nova Scotia,Bible Hill,Nova Scotia
Binbrook,Ontario,Binbrook,Ontario
Black Creek,British Columbia,Black Creek,British Columbia
Blackfalds,Alberta,Blackfalds,Alberta
Blackie,Alberta,Blackie,Alberta
Blackstock,Ontario,Blackstock,Ontario
Blue Mountains,Ontario,Blue Mountains,Ontario
Bolton,Ontario,Bolton,Ontario
Bonnyville,Alberta,Bonnyville,Alberta
Bowmanville,Ontario,Bowmanville,Ontario
Bracebridge,Ontario,Bracebridge,Ontario
Bradford,Ontario,Bradford,Ontario
Brampton,Ontario,Brampton,Ontario
Brantford,Ontario,Brantford,Ontario
Brazeau County,Alberta,Brazeau County,Alberta
Brentwood Bay,British Columbia,Brentwood Bay,British Columbia
Breslau,Ontario,Breslau,Ontario
Bridgetown,Nova Scotia,Bridgetown,Nova Scotia
